Date,phy,zoo,nut
2006-09-11,8.184681480468182,202.71800000000002,0.31895766
2006-09-18,6.5657816026990705,32.127,0.41495916
2006-09-25,2.266271247953276,12.801,1.60236607
2006-10-02,12.351801535211674,0.0,2.81077186
2006-10-12,12.870202131031627,0.0,0.33374449500000003
2006-10-16,12.898957692135516,0.36,0.3612482800000001
2006-10-23,6.531369545843354,0.0,1.13943402
2006-10-30,5.183602818281648,0.0,3.516307345
2006-11-06,6.272399217099679,0.0,6.934144065
2006-11-15,10.333211520289485,0.0,17.42811665
2006-11-20,10.518330994828691,0.0,19.70782464
2006-11-27,3.666941080765966,0.0,17.195362440000004
2006-12-04,3.946253175783315,0.0,16.036538460000003
2006-12-11,5.693408520136631,0.0,12.5893531
2006-12-20,11.2420693660325,0.0,8.062748385
2006-12-27,2.5765086014855605,0.0,13.908124515
2007-01-03,3.7821453835463053,0.0,12.415013
2007-01-10,4.583676350957457,0.0,
2007-01-17,12.834293782680879,0.0,13.07427416
2007-01-22,2.5910638187433794,,8.73324205
2007-01-29,4.294024491133021,0.0,8.81907176
2007-02-05,11.224891313708069,0.0,3.968462455
2007-02-13,19.135418308034144,0.0,0.46816122
2007-02-21,10.501590813069456,0.0,0.5411143700000001
2007-02-26,11.124178585771046,0.0,0.35522869999999995
2007-03-03,4.980702181612715,,
2007-03-05,,0.0,0.36091016
2007-03-12,3.964419199702767,0.0,0.6189453500000001
2007-03-19,7.6724787282931155,0.0,1.5328200600000002
2007-03-29,14.557567038169514,0.0,0.61971519
2007-04-02,4.706031105420838,0.0,0.614929565
2007-04-09,4.202467465735728,0.0,0.33983329500000004
2007-04-18,17.350056312786936,0.0,0.3329
2007-04-23,23.987940654090647,0.0,0.2093
2007-05-04,9.741667502271927,,
2007-05-07,22.339914196939382,0.0,0.0918
2007-05-14,14.894945521056,0.0,0.18415
2007-05-21,8.622657537866216,0.0,0.11730000000000002
2007-05-30,4.319673276227818,0.0,0.1428
2007-06-04,3.42402949326236,,0.30665000000000003
2007-06-11,16.855904735312667,0.0,0.3163
2007-06-18,4.378084827290784,0.0,0.0357
